#古籍字	Unicode
啊	uni554A
阿	uni963F
埃	uni57C3
挨	uni6328
哎	uni54CE
唉	uni5509
哀	uni54C0
皑	uni7691
癌	uni764C
蔼	uni853C
矮	uni77EE
艾	uni827E
碍	uni788D
爱	uni7231
隘	uni9698
鞍	uni978D
氨	uni6C28
安	uni5B89
俺	uni4FFA
按	uni6309
暗	uni6697
岸	uni5CB8
胺	uni80FA
案	uni6848
肮	uni80AE
昂	uni6602
盎	uni76CE
凹	uni51F9
敖	uni6556
熬	uni71AC
翱	uni7FF1
袄	uni8884
傲	uni50B2
奥	uni5965
懊	uni61CA
澳	uni6FB3
芭	uni82AD
捌	uni634C
扒	uni6252
叭	uni53ED
吧	uni5427
笆	uni7B06
八	uni516B
疤	uni75A4
巴	uni5DF4
拔	uni62D4
跋	uni8DCB
靶	uni9776
把	uni628A
耙	uni8019
坝	uni575D
霸	uni9738
罢	uni7F62
爸	uni7238
白	uni767D
柏	uni67CF
百	uni767E
摆	uni6446
佰	uni4F70
败	uni8D25
拜	uni62DC
稗	uni7A17
斑	uni6591
班	uni73ED
搬	uni642C
扳	uni6273
般	uni822C
颁	uni9881
板	uni677F
版	uni7248
扮	uni626E
拌	uni62CC
伴	uni4F34
瓣	uni74E3
半	uni534A
办	uni529E
绊	uni7ECA
邦	uni90A6
帮	uni5E2E
梆	uni6886
榜	uni699C
膀	uni8180
绑	uni7ED1
棒	uni68D2
磅	uni78C5
蚌	uni868C
镑	uni9551
傍	uni508D
谤	uni8C24
苞	uni82DE
胞	uni80DE
包	uni5305
褒	uni8912
剥	uni5265
薄	uni8584
雹	uni96F9
保	uni4FDD
堡	uni5821
饱	uni9971
宝	uni5B9D
抱	uni62B1
报	uni62A5
暴	uni66B4
豹	uni8C79
鲍	uni9C8D
爆	uni7206
杯	uni676F
碑	uni7891
悲	uni60B2
卑	uni5351
北	uni5317
辈	uni8F88
背	uni80CC
贝	uni8D1D
钡	uni94A1
倍	uni500D
狈	uni72C8
备	uni5907
惫	uni60EB
焙	uni7119
被	uni88AB
奔	uni5954
苯	uni82EF
本	uni672C
笨	uni7B28
崩	uni5D29
绷	uni7EF7
甭	uni752D
泵	uni6CF5
蹦	uni8E66
迸	uni8FF8
逼	uni903C
鼻	uni9F3B
比	uni6BD4
鄙	uni9119
笔	uni7B14
彼	uni5F7C
碧	uni78A7
蓖	uni84D6
蔽	uni853D
毕	uni6BD5
毙	uni6BD9
毖	uni6BD6
币	uni5E01
庇	uni5E87
痹	uni75F9
闭	uni95ED
敝	uni655D
弊	uni5F0A
必	uni5FC5
辟	uni8F9F
壁	uni58C1
臂	uni81C2
避	uni907F
陛	uni965B
鞭	uni97AD
边	uni8FB9
编	uni7F16
贬	uni8D2C
扁	uni6241
便	uni4FBF
变	uni53D8
卞	uni535E
辨	uni8FA8
辩	uni8FA9
辫	uni8FAB
遍	uni904D
标	uni6807
彪	uni5F6A
膘	uni8198
表	uni8868
鳖	uni9CD6
憋	uni618B
别	uni522B
瘪	uni762A
彬	uni5F6C
斌	uni658C
濒	uni6FD2
滨	uni6EE8
宾	uni5BBE
摈	uni6448
兵	uni5175
冰	uni51B0
柄	uni67C4
丙	uni4E19
秉	uni79C9
饼	uni997C
炳	uni70B3
病	uni75C5
并	uni5E76
玻	uni73BB
菠	uni83E0
播	uni64AD
拨	uni62E8
钵	uni94B5
波	uni6CE2
博	uni535A
勃	uni52C3
搏	uni640F
铂	uni94C2
箔	uni7B94
伯	uni4F2F
帛	uni5E1B
舶	uni8236
脖	uni8116
膊	uni818A
渤	uni6E24
泊	uni6CCA
驳	uni9A73
捕	uni6355
卜	uni535C
哺	uni54FA
补	uni8865
埠	uni57E0
不	uni4E0D
布	uni5E03
步	uni6B65
簿	uni7C3F
部	uni90E8
怖	uni6016
擦	uni64E6
猜	uni731C
裁	uni88C1
材	uni6750
才	uni624D
财	uni8D22
睬	uni776C
踩	uni8E29
采	uni91C7
彩	uni5F69
菜	uni83DC
蔡	uni8521
餐	uni9910
参	uni53C2
蚕	uni8695
残	uni6B8B
惭	uni60ED
惨	uni60E8
灿	uni707F
苍	uni82CD
舱	uni8231
仓	uni4ED3
沧	uni6CA7
藏	uni85CF
操	uni64CD
糙	uni7CD9
槽	uni69FD
曹	uni66F9
草	uni8349
厕	uni5395
策	uni7B56
侧	uni4FA7
册	uni518C
测	uni6D4B
层	uni5C42
蹭	uni8E6D
插	uni63D2
叉	uni53C9
茬	uni832C
茶	uni8336
查	uni67E5
碴	uni78B4
搽	uni643D
察	uni5BDF
岔	uni5C94
差	uni5DEE
诧	uni8BE7
拆	uni62C6
柴	uni67F4
豺	uni8C7A
搀	uni6400
掺	uni63BA
蝉	uni8749
馋	uni998B
谗	uni8C17
缠	uni7F20
铲	uni94F2
产	uni4EA7
阐	uni9610
颤	uni98A4
昌	uni660C
猖	uni7316
场	uni573A
尝	uni5C1D
常	uni5E38
长	uni957F
偿	uni507F
肠	uni80A0
厂	uni5382
敞	uni655E
畅	uni7545
唱	uni5531
倡	uni5021
超	uni8D85
抄	uni6284
钞	uni949E
朝	uni671D
嘲	uni5632
潮	uni6F6E
巢	uni5DE2
吵	uni5435
炒	uni7092
车	uni8F66
扯	uni626F
撤	uni64A4
掣	uni63A3
彻	uni5F7B
澈	uni6F88
郴	uni90F4
臣	uni81E3
辰	uni8FB0
尘	uni5C18
晨	uni6668
忱	uni5FF1
沉	uni6C89
陈	uni9648
趁	uni8D81
衬	uni886C
撑	uni6491
称	uni79F0
城	uni57CE
橙	uni6A59
成	uni6210
呈	uni5448
乘	uni4E58
程	uni7A0B
惩	uni60E9
澄	uni6F84
诚	uni8BDA
承	uni627F
逞	uni901E
骋	uni9A8B
秤	uni79E4
吃	uni5403
痴	uni75F4
持	uni6301
匙	uni5319
池	uni6C60
迟	uni8FDF
弛	uni5F1B
驰	uni9A70
耻	uni803B
齿	uni9F7F
侈	uni4F88
尺	uni5C3A
赤	uni8D64
翅	uni7FC5
斥	uni65A5
炽	uni70BD
充	uni5145
冲	uni51B2
虫	uni866B
崇	uni5D07
宠	uni5BA0
抽	uni62BD
酬	uni916C
畴	uni7574
踌	uni8E0C
稠	uni7A20
愁	uni6101
筹	uni7B79
仇	uni4EC7
绸	uni7EF8
瞅	uni7785
丑	uni4E11
臭	uni81ED
初	uni521D
出	uni51FA
橱	uni6A71
厨	uni53A8
躇	uni8E87
锄	uni9504
雏	uni96CF
滁	uni6EC1
除	uni9664
楚	uni695A
础	uni7840
储	uni50A8
矗	uni77D7
搐	uni6410
触	uni89E6
处	uni5904
揣	uni63E3
川	uni5DDD
穿	uni7A7F
椽	uni693D
传	uni4F20
船	uni8239
喘	uni5598
串	uni4E32
疮	uni75AE
窗	uni7A97
幢	uni5E62
床	uni5E8A
闯	uni95EF
创	uni521B
吹	uni5439
炊	uni708A
捶	uni6376
锤	uni9524
垂	uni5782
春	uni6625
椿	uni693F
醇	uni9187
唇	uni5507
淳	uni6DF3
纯	uni7EAF
蠢	uni8822
戳	uni6233
绰	uni7EF0
疵	uni75B5
茨	uni8328
磁	uni78C1
雌	uni96CC
辞	uni8F9E
慈	uni6148
瓷	uni74F7
词	uni8BCD
此	uni6B64
刺	uni523A
赐	uni8D50
次	uni6B21
聪	uni806A
葱	uni8471
囱	uni56F1
匆	uni5306
从	uni4ECE
丛	uni4E1B
凑	uni51D1
粗	uni7C97
醋	uni918B
簇	uni7C07
促	uni4FC3
蹿	uni8E7F
篡	uni7BE1
窜	uni7A9C
摧	uni6467
崔	uni5D14
催	uni50AC
脆	uni8106
瘁	uni7601
粹	uni7CB9
淬	uni6DEC
翠	uni7FE0
村	uni6751
存	uni5B58
寸	uni5BF8
磋	uni78CB
撮	uni64AE
搓	uni6413
措	uni63AA
挫	uni632B
错	uni9519
搭	uni642D
达	uni8FBE
答	uni7B54
瘩	uni7629
打	uni6253
大	uni5927
呆	uni5446
歹	uni6B79
傣	uni50A3
戴	uni6234
带	uni5E26
殆	uni6B86
代	uni4EE3
贷	uni8D37
袋	uni888B
待	uni5F85
逮	uni902E
怠	uni6020
耽	uni803D
担	uni62C5
丹	uni4E39
单	uni5355
郸	uni90F8
掸	uni63B8
胆	uni80C6
旦	uni65E6
氮	uni6C2E
但	uni4F46
惮	uni60EE
淡	uni6DE1
