#规范字	Unicode
一	uni4E00
乙	uni4E59
二	uni4E8C
十	uni5341
丁	uni4E01
厂	uni5382
七	uni4E03
卜	uni535C
八	uni516B
人	uni4EBA
入	uni5165
儿	uni513F
匕	uni5315
几	uni51E0
九	uni4E5D
刁	uni5201
了	uni4E86
刀	uni5200
力	uni529B
乃	uni4E43
又	uni53C8
三	uni4E09
干	uni5E72
于	uni4E8E
亏	uni4E8F
工	uni5DE5
土	uni571F
士	uni58EB
才	uni624D
下	uni4E0B
寸	uni5BF8
大	uni5927
丈	uni4E08
与	uni4E0E
万	uni4E07
上	uni4E0A
小	uni5C0F
口	uni53E3
山	uni5C71
巾	uni5DFE
千	uni5343
乞	uni4E5E
川	uni5DDD
亿	uni4EBF
个	uni4E2A
夕	uni5915
久	uni4E45
么	uni4E48
勺	uni52FA
凡	uni51E1
丸	uni4E38
及	uni53CA
广	uni5E7F
亡	uni4EA1
门	uni95E8
丫	uni4E2B
义	uni4E49
之	uni4E4B
尸	uni5C38
己	uni5DF1
已	uni5DF2
巳	uni5DF3
弓	uni5F13
子	uni5B50
卫	uni536B
也	uni4E5F
女	uni5973
刃	uni5203
飞	uni98DE
习	uni4E60
叉	uni53C9
马	uni9A6C
乡	uni4E61
丰	uni4E30
王	uni738B
开	uni5F00
井	uni4E95
天	uni5929
夫	uni592B
元	uni5143
无	uni65E0
云	uni4E91
专	uni4E13
丐	uni4E10
扎	uni624E
艺	uni827A
木	uni6728
五	uni4E94
支	uni652F
厅	uni5385
不	uni4E0D
犬	uni72AC
太	uni592A
区	uni533A
历	uni5386
歹	uni6B79
友	uni53CB
尤	uni5C24
匹	uni5339
车	uni8F66
巨	uni5DE8
牙	uni7259
屯	uni5C6F
戈	uni6208
比	uni6BD4
互	uni4E92
切	uni5207
瓦	uni74E6
止	uni6B62
少	uni5C11
曰	uni66F0
日	uni65E5
中	uni4E2D
贝	uni8D1D
冈	uni5188
内	uni5185
水	uni6C34
见	uni89C1
午	uni5348
牛	uni725B
手	uni624B
气	uni6C14
毛	uni6BDB
壬	uni58EC
升	uni5347
夭	uni592D
长	uni957F
仁	uni4EC1
什	uni4EC0
片	uni7247
仆	uni4EC6
化	uni5316
仇	uni4EC7
币	uni5E01
仍	uni4ECD
仅	uni4EC5
斤	uni65A4
爪	uni722A
反	uni53CD
介	uni4ECB
父	uni7236
从	uni4ECE
仑	uni4ED1
今	uni4ECA
凶	uni51F6
分	uni5206
乏	uni4E4F
公	uni516C
仓	uni4ED3
月	uni6708
氏	uni6C0F
勿	uni52FF
欠	uni6B20
风	uni98CE
丹	uni4E39
匀	uni5300
乌	uni4E4C
勾	uni52FE
凤	uni51E4
六	uni516D
文	uni6587
亢	uni4EA2
方	uni65B9
火	uni706B
为	uni4E3A
斗	uni6597
忆	uni5FC6
计	uni8BA1
订	uni8BA2
户	uni6237
认	uni8BA4
冗	uni5197
讥	uni8BA5
心	uni5FC3
尺	uni5C3A
引	uni5F15
丑	uni4E11
巴	uni5DF4
孔	uni5B54
队	uni961F
办	uni529E
以	uni4EE5
允	uni5141
予	uni4E88
邓	uni9093
劝	uni529D
双	uni53CC
书	uni4E66
幻	uni5E7B
玉	uni7389
刊	uni520A
未	uni672A
末	uni672B
示	uni793A
击	uni51FB
打	uni6253
巧	uni5DE7
正	uni6B63
扑	uni6251
卉	uni5349
扒	uni6252
功	uni529F
扔	uni6254
去	uni53BB
甘	uni7518
世	uni4E16
艾	uni827E
古	uni53E4
节	uni8282
本	uni672C
术	uni672F
可	uni53EF
丙	uni4E19
左	uni5DE6
厉	uni5389
石	uni77F3
右	uni53F3
布	uni5E03
夯	uni592F
戊	uni620A
龙	uni9F99
平	uni5E73
灭	uni706D
轧	uni8F67
东	uni4E1C
卡	uni5361
北	uni5317
占	uni5360
凸	uni51F8
卢	uni5362
业	uni4E1A
旧	uni65E7
帅	uni5E05
归	uni5F52
旦	uni65E6
目	uni76EE
且	uni4E14
叶	uni53F6
甲	uni7532
申	uni7533
叮	uni53EE
电	uni7535
号	uni53F7
田	uni7530
由	uni7531
只	uni53EA
叭	uni53ED
史	uni53F2
央	uni592E
兄	uni5144
叽	uni53FD
叼	uni53FC
叫	uni53EB
叩	uni53E9
叨	uni53E8
另	uni53E6
叹	uni53F9
冉	uni5189
皿	uni76BF
凹	uni51F9
囚	uni56DA
四	uni56DB
生	uni751F
矢	uni77E2
失	uni5931
乍	uni4E4D
禾	uni79BE
丘	uni4E18
付	uni4ED8
仗	uni4ED7
代	uni4EE3
仙	uni4ED9
们	uni4EEC
仪	uni4EEA
白	uni767D
仔	uni4ED4
他	uni4ED6
斥	uni65A5
瓜	uni74DC
乎	uni4E4E
丛	uni4E1B
令	uni4EE4
用	uni7528
甩	uni7529
印	uni5370
尔	uni5C14
乐	uni4E50
句	uni53E5
匆	uni5306
册	uni518C
卯	uni536F
犯	uni72AF
外	uni5916
处	uni5904
冬	uni51AC
鸟	uni9E1F
务	uni52A1
包	uni5305
饥	uni9965
主	uni4E3B
市	uni5E02
立	uni7ACB
冯	uni51AF
玄	uni7384
闪	uni95EA
兰	uni5170
半	uni534A
汁	uni6C41
汇	uni6C47
头	uni5934
汉	uni6C49
宁	uni5B81
穴	uni7A74
它	uni5B83
讨	uni8BA8
写	uni5199
让	uni8BA9
礼	uni793C
训	uni8BAD
议	uni8BAE
必	uni5FC5
讯	uni8BAF
记	uni8BB0
永	uni6C38
司	uni53F8
尼	uni5C3C
民	uni6C11
弗	uni5F17
弘	uni5F18
出	uni51FA
辽	uni8FBD
奶	uni5976
奴	uni5974
召	uni53EC
加	uni52A0
皮	uni76AE
边	uni8FB9
孕	uni5B55
发	uni53D1
圣	uni5723
对	uni5BF9
台	uni53F0
矛	uni77DB
纠	uni7EA0
母	uni6BCD
幼	uni5E7C
丝	uni4E1D
邦	uni90A6
式	uni5F0F
迂	uni8FC2
刑	uni5211
戎	uni620E
动	uni52A8
扛	uni625B
寺	uni5BFA
吉	uni5409
扣	uni6263
考	uni8003
托	uni6258
老	uni8001
巩	uni5DE9
圾	uni573E
执	uni6267
扩	uni6269
扫	uni626B
地	uni5730
场	uni573A
扬	uni626C
耳	uni8033
芋	uni828B
共	uni5171
芒	uni8292
亚	uni4E9A
芝	uni829D
朽	uni673D
朴	uni6734
机	uni673A
权	uni6743
过	uni8FC7
臣	uni81E3
吏	uni540F
再	uni518D
协	uni534F
西	uni897F
压	uni538B
厌	uni538C
戌	uni620C
在	uni5728
百	uni767E
有	uni6709
存	uni5B58
而	uni800C
页	uni9875
匠	uni5320
夸	uni5938
夺	uni593A
灰	uni7070
达	uni8FBE
列	uni5217
死	uni6B7B
成	uni6210
夹	uni5939
夷	uni5937
轨	uni8F68
邪	uni90AA
尧	uni5C27
划	uni5212
迈	uni8FC8
毕	uni6BD5
至	uni81F3
此	uni6B64
贞	uni8D1E
师	uni5E08
尘	uni5C18
尖	uni5C16
劣	uni52A3
光	uni5149
当	uni5F53
早	uni65E9
吁	uni5401
吐	uni5410
吓	uni5413
虫	uni866B
曲	uni66F2
团	uni56E2
吕	uni5415
同	uni540C
吊	uni540A
吃	uni5403
因	uni56E0
吸	uni5438
吗	uni5417
吆	uni5406
屿	uni5C7F
屹	uni5C79
岁	uni5C81
帆	uni5E06
回	uni56DE
岂	uni5C82
则	uni5219
刚	uni521A
网	uni7F51
肉	uni8089
年	uni5E74
朱	uni6731
先	uni5148
丢	uni4E22
廷	uni5EF7
舌	uni820C
竹	uni7AF9
迁	uni8FC1
乔	uni4E54
迄	uni8FC4
伟	uni4F1F
传	uni4F20
乒	uni4E52
乓	uni4E53
休	uni4F11
伍	uni4F0D
伏	uni4F0F
优	uni4F18
臼	uni81FC
伐	uni4F10
延	uni5EF6
仲	uni4EF2
件	uni4EF6
任	uni4EFB
伤	uni4F24
价	uni4EF7
伦	uni4F26
份	uni4EFD
华	uni534E
仰	uni4EF0
仿	uni4EFF
伙	uni4F19
伪	uni4F2A
自	uni81EA
伊	uni4F0A
血	uni8840
向	uni5411
似	uni4F3C
后	uni540E
行	uni884C
舟	uni821F
全	uni5168
会	uni4F1A
杀	uni6740
合	uni5408
兆	uni5146
企	uni4F01
众	uni4F17
爷	uni7237
伞	uni4F1E
创	uni521B
肌	uni808C
肋	uni808B
朵	uni6735
杂	uni6742
危	uni5371
旬	uni65EC
旨	uni65E8
旭	uni65ED
负	uni8D1F
匈	uni5308
名	uni540D
各	uni5404
多	uni591A
争	uni4E89
色	uni8272
壮	uni58EE
冲	uni51B2
妆	uni5986
冰	uni51B0
庄	uni5E84
庆	uni5E86
亦	uni4EA6
刘	uni5218
齐	uni9F50
交	uni4EA4
衣	uni8863
次	uni6B21
产	uni4EA7
决	uni51B3
亥	uni4EA5
充	uni5145
妄	uni5984
闭	uni95ED
问	uni95EE
闯	uni95EF
羊	uni7F8A
并	uni5E76
关	uni5173
米	uni7C73
灯	uni706F
州	uni5DDE
汗	uni6C57
污	uni6C61
江	uni6C5F
汛	uni6C5B
池	uni6C60
汝	uni6C5D
汤	uni6C64
忙	uni5FD9
兴	uni5174
宇	uni5B87
守	uni5B88
宅	uni5B85
字	uni5B57
安	uni5B89
讲	uni8BB2
讳	uni8BB3
军	uni519B
讶	uni8BB6
许	uni8BB8
讹	uni8BB9
论	uni8BBA
讼	uni8BBC
农	uni519C
讽	uni8BBD
设	uni8BBE
访	uni8BBF
诀	uni8BC0
寻	uni5BFB
那	uni90A3
迅	uni8FC5
尽	uni5C3D
导	uni5BFC
异	uni5F02
弛	uni5F1B
孙	uni5B59
阵	uni9635
阳	uni9633
收	uni6536
阶	uni9636
阴	uni9634
防	uni9632
奸	uni5978
如	uni5982
妇	uni5987
妃	uni5983
好	uni597D
她	uni5979
妈	uni5988
戏	uni620F
羽	uni7FBD
观	uni89C2
欢	uni6B22
买	uni4E70
红	uni7EA2
驮	uni9A6E
纤	uni7EA4
驯	uni9A6F
约	uni7EA6
级	uni7EA7
纪	uni7EAA
驰	uni9A70
纫	uni7EAB
巡	uni5DE1
寿	uni5BFF
弄	uni5F04
麦	uni9EA6
玖	uni7396
玛	uni739B
形	uni5F62
进	uni8FDB
戒	uni6212
吞	uni541E
远	uni8FDC
违	uni8FDD
韧	uni97E7
运	uni8FD0
扶	uni6276
抚	uni629A
坛	uni575B
技	uni6280
坏	uni574F
抠	uni62A0
扰	uni6270
扼	uni627C
拒	uni62D2
找	uni627E
批	uni6279
址	uni5740
扯	uni626F
走	uni8D70
抄	uni6284
贡	uni8D21
汞	uni6C5E
坝	uni575D
攻	uni653B
赤	uni8D64
折	uni6298
抓	uni6293
扳	uni6273
抡	uni62A1
扮	uni626E
抢	uni62A2
孝	uni5B5D
坎	uni574E
均	uni5747
抑	uni6291
抛	uni629B
投	uni6295
坟	uni575F
坑	uni5751
抗	uni6297
坊	uni574A
抖	uni6296
护	uni62A4
壳	uni58F3
志	uni5FD7
块	uni5757
扭	uni626D
声	uni58F0
把	uni628A
报	uni62A5
拟	uni62DF
却	uni5374
抒	uni6292
劫	uni52AB
芙	uni8299
芜	uni829C
苇	uni82C7
芽	uni82BD
花	uni82B1
芹	uni82B9
芥	uni82A5
芬	uni82AC
苍	uni82CD
芳	uni82B3
严	uni4E25
芦	uni82A6
芯	uni82AF
劳	uni52B3
克	uni514B
芭	uni82AD
苏	uni82CF
杆	uni6746
杠	uni6760
杜	uni675C
材	uni6750
村	uni6751
杖	uni6756
杏	uni674F
杉	uni6749
巫	uni5DEB
极	uni6781
李	uni674E
杨	uni6768
求	uni6C42
甫	uni752B
匣	uni5323
更	uni66F4
束	uni675F
吾	uni543E
豆	uni8C46
两	uni4E24
酉	uni9149
丽	uni4E3D
医	uni533B
辰	uni8FB0
励	uni52B1
否	uni5426
还	uni8FD8
尬	uni5C2C
歼	uni6B7C
来	uni6765
连	uni8FDE
轩	uni8F69
步	uni6B65
卤	uni5364
坚	uni575A
肖	uni8096
旱	uni65F1
盯	uni76EF
呈	uni5448
时	uni65F6
吴	uni5434
助	uni52A9
县	uni53BF
里	uni91CC
呆	uni5446
吱	uni5431
吠	uni5420
呕	uni5455
园	uni56ED
旷	uni65F7
围	uni56F4
呀	uni5440
吨	uni5428
足	uni8DB3
邮	uni90AE
男	uni7537
困	uni56F0
吵	uni5435
串	uni4E32
员	uni5458
呐	uni5450
听	uni542C
吟	uni541F
吩	uni5429
呛	uni545B
吻	uni543B
吹	uni5439
